web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4,V_4-href
"1732590740-81","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","100 hectares a mbambilor","https://www.dakarvente.com/annonce-4453-100-hectares-a-mbambilor.html","100 hectares a mbambilor","15.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590744-82","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain de 367m² a cité keur Gorgui","https://www.dakarvente.com/annonce-4455-terrain-de-367m-a-cit-keur-gorgui.html","Terrain de 367m² a cité keur Gorgui","180.000.000  FCFA","VDN","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590768-83","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Terrain à Diamniadio","https://www.dakarvente.com/annonce-4504-terrain-diamniadio.html","Terrain à Diamniadio","3.500.000  FCFA","Diamniadio","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590774-84","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Terrain à vendre","https://www.dakarvente.com/annonce-4508-terrain-vendre.html","Terrain à vendre","2.900.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590780-85","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Terrain kounoune","https://www.dakarvente.com/annonce-4601-terrain-kounoune.html","Terrain kounoune","65.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590784-86","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Terrain a vendre","https://www.dakarvente.com/annonce-4620-terrain-a-vendre.html","Terrain a vendre","4.000.000  FCFA","Lac rose","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590789-87","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Terrain en vente sur Sandiara, mbour","https://www.dakarvente.com/annonce-4625-terrain-en-vente-sur-sandiara-mbour.html","Terrain en vente sur Sandiara, mbour","7.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590795-88","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Verger en vente sur Nianing, Mbour","https://www.dakarvente.com/annonce-4627-verger-en-vente-sur-nianing-mbour.html","Verger en vente sur Nianing, Mbour","9.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590799-89","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Vente Terrains 150 - Keur Massar","https://www.dakarvente.com/annonce-4765-vente-terrains-150-keur-massar.html","Vente Terrains 150 - Keur Massar","5.000.000  FCFA","Keur Massar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590804-90","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","A vendre un terrain à Keur Gorgui","https://www.dakarvente.com/annonce-4861-a-vendre-un-terrain-keur-gorgui.html","A vendre un terrain à Keur Gorgui","128.800.000  FCFA","Cité Keur Gorgui","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590808-91","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","DRT vend des TERRAINS à coté de l'aéroport DIASS à bas prix","https://www.dakarvente.com/annonce-4911-drt-vend-des-terrains-cot-de-l-aroport-diass-bas-prix.html","DRT vend des TERRAINS à coté de l'aéroport DIASS à bas prix","2.000.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590811-92","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","terrain a vendre la lagune la Somone 300 m2","https://www.dakarvente.com/annonce-4940-terrain-a-vendre-la-lagune-la-somone-300-m2.html","terrain a vendre la lagune la Somone 300 m2","25.000.000  FCFA","Somone","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590816-93","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","terrains à vendre Bambilor","https://www.dakarvente.com/annonce-4956-terrains-vendre-bambilor.html","terrains à vendre Bambilor","3.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590822-94","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","3 terrains 150m² àmoins de 500m de la mer à vendre à yene","https://www.dakarvente.com/annonce-5031-3-terrains-150m-moins-de-500m-de-la-mer-vendre-yene.html","3 terrains 150m² àmoins de 500m de la mer à vendre à yene","12.000.000  FCFA","Diamniadio","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590829-95","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN 300 MÈTRE CARRE MBOUR","https://www.dakarvente.com/annonce-5162-terrain-300-mtre-carre-mbour.html","TERRAIN 300 MÈTRE CARRE MBOUR","5.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590834-96","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Vente de terrains sur Mbour","https://www.dakarvente.com/annonce-5180-vente-de-terrains-sur-mbour.html","Vente de terrains sur Mbour","1  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590839-97","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Terrains en vente sur Mbour, près de la réserve de Bandia","https://www.dakarvente.com/annonce-5182-terrains-en-vente-sur-mbour-prs-de-la-rserve-de-bandia.html","Terrains en vente sur Mbour, près de la réserve de Bandia","","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590845-98","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","terrain à vendre titre foncier","https://www.dakarvente.com/annonce-5193-terrain-vendre-titre-foncier.html","terrain à vendre titre foncier","13.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590853-99","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN DE 300 MÈTRE CARRE A NGAPAROU","https://www.dakarvente.com/annonce-5255-terrain-de-300-mtre-carre-a-ngaparou.html","TERRAIN DE 300 MÈTRE CARRE A NGAPAROU","8.500.000  FCFA","Ngaparou","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590879-100","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN DE 1000 MÈTRES CARRE A GANDIGAL","https://www.dakarvente.com/annonce-5272-terrain-de-1000-mtre-carre-a-gandigal.html","TERRAIN DE 1000 MÈTRES CARRE A GANDIGAL","20.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590911-101","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN DE 250 MÈTRE CARRE A GANDIGAL","https://www.dakarvente.com/annonce-5273-terrain-de-250-mtre-carre-a-gandigal.html","TERRAIN DE 250 MÈTRE CARRE A GANDIGAL","5.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590916-102","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN A VENDRE LOT 150m2 - POPENGUINE","https://www.dakarvente.com/annonce-5279-terrain-a-vendre-lot-150m2-popenguine.html","TERRAIN A VENDRE LOT 150m2 - POPENGUINE","3.000.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590923-103","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","vente de terrain à popenguine","https://www.dakarvente.com/annonce-5281-vente-de-terrain-popenguine.html","vente de terrain à popenguine","3.000.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590927-104","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN A VENDRE LOT 225m2 - POPENGUINE","https://www.dakarvente.com/annonce-5311-terrain-a-vendre-lot-225m2-popenguine.html","TERRAIN A VENDRE LOT 225m2 - POPENGUINE","4.500.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590934-105","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Terrains en vente sur Pikine - Guédièwaye","https://www.dakarvente.com/annonce-5319-terrains-en-vente-sur-pikine-gudiwaye.html","Terrains en vente sur Pikine - Guédièwaye","","Dakar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590938-106","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Vente de terrains sur thiès","https://www.dakarvente.com/annonce-5321-vente-de-terrains-sur-this.html","Vente de terrains sur thiès","25.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590942-107","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Terrain en vente à Mbodiène","https://www.dakarvente.com/annonce-5331-terrain-en-vente-mbodine.html","Terrain en vente à Mbodiène","","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590948-108","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN A VENDRE LOT 294m2 - POPENGUINE","https://www.dakarvente.com/annonce-5351-terrain-a-vendre-lot-294m2-popenguine.html","TERRAIN A VENDRE LOT 294m2 - POPENGUINE","6.380.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590954-109","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN A VENDRE LOT 225m2 (Angle) - POPENGUINE","https://www.dakarvente.com/annonce-5391-terrain-a-vendre-lot-225m2-angle-popenguine.html","TERRAIN A VENDRE LOT 225m2 (Angle) - POPENGUINE","5.000.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590958-110","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN A VENDRE - POPENGUINE","https://www.dakarvente.com/annonce-5426-terrain-a-vendre-popenguine.html","TERRAIN A VENDRE - POPENGUINE","3.740.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590962-111","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","vente de terrain","https://www.dakarvente.com/annonce-5456-vente-de-terrain.html","vente de terrain","7.500.000  FCFA","Dakar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590966-112","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN A VENDRE LOT 150m2 (angle) - PARADISE CITY NIACOURAB","https://www.dakarvente.com/annonce-5460-terrain-a-vendre-lot-150m2-angle-paradise-city-niacourab.html","TERRAIN A VENDRE LOT 150m2 (angle) - PARADISE CITY NIACOURAB","8.500.000  FCFA","Dakar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590971-113","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Terrain a vendre","https://www.dakarvente.com/annonce-5480-terrain-a-vendre.html","Terrain a vendre","6.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590978-114","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN DE 340 MÈTRE CARRE A MBOUR","https://www.dakarvente.com/annonce-5494-terrain-de-340-mtre-carre-a-mbour.html","TERRAIN DE 340 MÈTRE CARRE A MBOUR","16.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590987-115","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN DE 380 MÈTRE CARRE A MBOUR","https://www.dakarvente.com/annonce-5515-terrain-de-380-mtre-carre-a-mbour.html","TERRAIN DE 380 MÈTRE CARRE A MBOUR","11.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590992-116","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN DE 500 MÈTRE CARRE A SALY","https://www.dakarvente.com/annonce-5560-terrain-de-500-mtre-carre-a-saly.html","TERRAIN DE 500 MÈTRE CARRE A SALY","10.000.000  FCFA","Saly","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590997-117","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN DE 600 MÈTRE CARRE SALY","https://www.dakarvente.com/annonce-5561-terrain-de-600-mtre-carre-saly.html","TERRAIN DE 600 MÈTRE CARRE SALY","40.000  FCFA","Saly","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591002-118","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN DE 600 MÈTRE CARRE A NGAPAROU","https://www.dakarvente.com/annonce-5566-terrain-de-600-mtre-carre-a-ngaparou.html","TERRAIN DE 600 MÈTRE CARRE A NGAPAROU","16.000.000  FCFA","Ngaparou","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591005-119","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","TERRAIN A VENDRE - POPENGUINE","https://www.dakarvente.com/annonce-5570-terrain-a-vendre-popenguine.html","TERRAIN A VENDRE - POPENGUINE","4.420.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591010-120","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","Vends Terrai à Nguerine","https://www.dakarvente.com/annonce-5578-vends-terrai-nguerine.html","Vends Terrai à Nguerine","27.500.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591014-121","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","A vendre un terrain à Keur Gorgui","https://www.dakarvente.com/annonce-5605-a-vendre-un-terrain-keur-gorgui.html","A vendre un terrain à Keur Gorgui","650.000  FCFA","Cité Keur Gorgui","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591019-122","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","A vendre un terrain à Bambilor","https://www.dakarvente.com/annonce-5628-a-vendre-un-terrain-bambilor.html","A vendre un terrain à Bambilor","12.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591024-123","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","A vendre un terrain à Keur Gorgui","https://www.dakarvente.com/annonce-5644-a-vendre-un-terrain-keur-gorgui.html","A vendre un terrain à Keur Gorgui","650.000  FCFA","Cité Keur Gorgui","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591030-124","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=53","A vendre un terrain à Fenêtre Mermoz","https://www.dakarvente.com/annonce-5682-a-vendre-un-terrain-fentre-mermoz.html","A vendre un terrain à Fenêtre Mermoz","600.000  FCFA","Mermoz","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591057-125","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","TERRAIN DE 1200 M2 A NGUERIGNE","https://www.dakarvente.com/annonce-5703-terrain-de-1200-m2-a-nguerigne.html","TERRAIN DE 1200 M2 A NGUERIGNE","22.000.000  FCFA","Ngaparou","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591064-126","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A vendre un terrain aux Mamelles","https://www.dakarvente.com/annonce-5744-a-vendre-un-terrain-aux-mamelles.html","A vendre un terrain aux Mamelles","90.000.000  FCFA","Mamelles","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591072-127","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","terrain 1200 m2 somone","https://www.dakarvente.com/annonce-5854-terrain-1200-m2-somone.html","terrain 1200 m2 somone","35.000.000  FCFA","Somone","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591080-128","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A vendre terrains TF Keur Massar","https://www.dakarvente.com/annonce-5858-a-vendre-terrains-tf-keur-massar.html","A vendre terrains TF Keur Massar","7.000.000  FCFA","Keur Massar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591093-129","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Vente de terrain à ziguinchor","https://www.dakarvente.com/annonce-5868-vente-de-terrain-ziguinchor.html","Vente de terrain à ziguinchor","1  FCFA","Ziguinchor","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591102-130","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A vendre terrains TF Keur Massar","https://www.dakarvente.com/annonce-5894-a-vendre-terrains-tf-keur-massar.html","A vendre terrains TF Keur Massar","7.000.000  FCFA","Keur Massar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591108-131","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","TERRAIN A VENDRE A THIES","https://www.dakarvente.com/annonce-5908-terrain-a-vendre-a-thies.html","TERRAIN A VENDRE A THIES","90.000.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591113-132","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","NOUVELLE OPPORTUNITE POUR SE LOGER A OUAGOU NDIAYE","https://www.dakarvente.com/annonce-5909-nouvelle-opportunite-pour-se-loger-a-ouagou-ndiaye.html","NOUVELLE OPPORTUNITE POUR SE LOGER A OUAGOU NDIAYE","90.000.000  FCFA","Ouagou Niaye","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591119-133","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A vendre","https://www.dakarvente.com/annonce-5927-a-vendre.html","A vendre","500.000  FCFA","Guédiawaye","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591127-134","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Vente Terrains 116  - Medina","https://www.dakarvente.com/annonce-5934-vente-terrains-116-medina.html","Vente Terrains 116  - Medina","140.000.000  FCFA","Médina","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591133-135","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Vente Terrains  - Mamelle","https://www.dakarvente.com/annonce-5935-vente-terrains-mamelle.html","Vente Terrains  - Mamelle","","Mamelles","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591138-136","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","terrain à vendre lac rose","https://www.dakarvente.com/annonce-5937-terrain-vendre-lac-rose.html","terrain à vendre lac rose","1.400  FCFA","Lac rose","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591146-137","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Terrains à vendre à keur massar","https://www.dakarvente.com/annonce-5939-av-des-terrains-tf-keur-massar.html","Terrains à vendre à keur massar","7.500.000  FCFA","Keur Massar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591152-138","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A vendre un terrain à Bambilor","https://www.dakarvente.com/annonce-5987-a-vendre-un-terrain-bambilor.html","A vendre un terrain à Bambilor","11.800.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591158-139","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","terrains à vendre au Lac Rose","https://www.dakarvente.com/annonce-6006-terrains-vendre-au-lac-rose.html","terrains à vendre au Lac Rose","14.000  FCFA","Lac rose","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591164-140","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A vendre 2 terrains à Sangalkam","https://www.dakarvente.com/annonce-6012-a-vendre-2-terrains-sangalkam.html","A vendre 2 terrains à Sangalkam","2.500.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591169-141","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","TERRAIN 1000M2 SALY","https://www.dakarvente.com/annonce-6039-terrain-1000m2-saly.html","TERRAIN 1000M2 SALY","25.000.000  FCFA","Saly","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591175-142","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A vendre 2 terrains à Sotrac MERMOZ","https://www.dakarvente.com/annonce-6054-a-vendre-2-terrains-sotrac-mermoz.html","A vendre 2 terrains à Sotrac MERMOZ","89.000.000  FCFA","Mermoz","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591183-143","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","TERRAIN DE 8000 M2 A Nguekokh","https://www.dakarvente.com/annonce-6061-terrain-de-8000-m2-a-nguekokh.html","TERRAIN DE 8000 M2 A Nguekokh","20.000  FCFA","Ngaparou","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591188-144","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Terrainde 1 ha à vendre à nguekokh","https://www.dakarvente.com/annonce-6063-terrainde-1ha-vendre-nguekokh.html","Terrainde 1 ha à vendre à nguekokh","7.000.000  FCFA","Point E","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591195-145","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Vente terrains 195m² - Mermoz-Sacré Coeur","https://www.dakarvente.com/annonce-6064-vente-terrains-195m-mermoz-sacr-coeur.html","Vente terrains 195m² - Mermoz-Sacré Coeur","1.200.000  FCFA","Mermoz","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591204-146","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Terrain 2000 m2 Somone","https://www.dakarvente.com/annonce-6158-terrain-2000-m2-somone.html","Terrain 2000 m2 Somone","85.000.000  FCFA","Somone","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591214-147","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A vendre un terrain aux Mamelles Aéroports","https://www.dakarvente.com/annonce-6171-a-vendre-un-terrain-aux-mamelles-aroports.html","A vendre un terrain aux Mamelles Aéroports","65.000.000  FCFA","Mamelles","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591221-148","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A vendre un terrain aux Mamelles Aéroports","https://www.dakarvente.com/annonce-6172-a-vendre-un-terrain-aux-mamelles-aroports.html","A vendre un terrain aux Mamelles Aéroports","150.000.000  FCFA","Mamelles","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591232-149","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Terrain 300 mètre carré Mbour","https://www.dakarvente.com/annonce-6176-terrain-300-mtre-carr-mbour.html","Terrain 300 mètre carré Mbour","13.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591238-150","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Vente de Terrains","https://www.dakarvente.com/annonce-6238-vente-de-terrains.html","Vente de Terrains","30.000.000  FCFA","Fatick","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591245-151","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Ranch à vendre sur Toubab Dialaw","https://www.dakarvente.com/annonce-6265-ranch-vendre-sur-toubab-dialaw.html","Ranch à vendre sur Toubab Dialaw","190.000.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591251-152","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Terrain en vente sur Mbour","https://www.dakarvente.com/annonce-6273-terrain-en-vente-sur-mbour.html","Terrain en vente sur Mbour","18.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591265-153","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Terrain 7000m2 axe ngaparou-nguerigne","https://www.dakarvente.com/annonce-6295-terrain-7000m2-axe-ngaparou-nguerigne.html","Terrain 7000m2 axe ngaparou-nguerigne","35.000  FCFA","Ngaparou","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591272-154","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Terrain en vente sur Mbodiène","https://www.dakarvente.com/annonce-6296-terrain-en-vente-sur-mbodine.html","Terrain en vente sur Mbodiène","20.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591282-155","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Vente Terrains 116 - Medina","https://www.dakarvente.com/annonce-6338-vente-terrains-116-medina.html","Vente Terrains 116 - Medina","140.000.000  FCFA","Dakar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591290-156","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Vente Terrains 116 - Medina","https://www.dakarvente.com/annonce-6339-vente-terrains-116-medina.html","Vente Terrains 116 - Medina","140.000.000  FCFA","Dakar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591298-157","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","A.V des Terrains TF Keur Massar","https://www.dakarvente.com/annonce-6354-av-des-terrains-tf-keur-massar.html","A.V des Terrains TF Keur Massar","7.500.000  FCFA","Keur Massar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732591312-158","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=52","Terrain 900 m2 ngaparou bord de mer","https://www.dakarvente.com/annonce-6363-terrain-900-m2-ngaparou-bord-de-mer.html","Terrain 900 m2 ngaparou bord de mer","85.000.000  FCFA","Ngaparou","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
