web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4,V_4-href
"1732590363-19","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Diass Aeroport ( Landou ) Terrains A Vendre","https://www.dakarvente.com/annonce-1000-diass-aeroport-landou-terrains-a-vendre.html","Diass Aeroport ( Landou ) Terrains A Vendre","3.500.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590367-20","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Rufisque Terrain 190m² A Vendre","https://www.dakarvente.com/annonce-1001-rufisque-terrain-190m-a-vendre.html","Rufisque Terrain 190m² A Vendre","9.000.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590372-21","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Promotion Magal Touba 2018 Terrains A Vendre","https://www.dakarvente.com/annonce-1054-promotion-magal-touba-2018-terrains-a-vendre.html","Promotion Magal Touba 2018 Terrains A Vendre","1.700.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590377-22","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Ndayane Terrain 400m² Vue Mer A Vendre","https://www.dakarvente.com/annonce-1055-ndayane-terrain-400m-vue-mer-a-vendre.html","Ndayane Terrain 400m² Vue Mer A Vendre","12.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590382-23","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Promotion Terrain Diass Aéroport","https://www.dakarvente.com/annonce-1058-promotion-terrain-diass-aroport.html","Promotion Terrain Diass Aéroport","1.500.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590386-24","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Almadie Lot de Terrains A Vendre","https://www.dakarvente.com/annonce-1066-almadie-lot-de-terrains-a-vendre.html","Almadie Lot de Terrains A Vendre","60.000.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590394-25","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Yeumbeule Terrains A Vendre","https://www.dakarvente.com/annonce-1067-yeumbeule-terrains-a-vendre.html","Yeumbeule Terrains A Vendre","9.500.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590401-26","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Promotion Terrains Magal Touba 2018","https://www.dakarvente.com/annonce-1068-promotion-terrains-magal-touba-2018.html","Promotion Terrains Magal Touba 2018","1.700.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590406-27","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Urgence Terrains 100 parcelles à Tivaoune Peulh coté VDN","https://www.dakarvente.com/annonce-851-urgence-terrains-100-parcelles-tivaoune-peulh-cot-vdn.html","Urgence Terrains 100 parcelles à Tivaoune Peulh coté VDN","2.700.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590412-28","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=55","Terrains TF à Bambilor","https://www.dakarvente.com/annonce-850-terrains-tf-bambilor.html","Terrains TF à Bambilor","15.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
